area,bedrooms,age,price
2456,4,7,388710
2102,6,23,351534
3126,4,17,500392
3003,6,17,483815
2914,3,8,468835
2571,2,23,362862
2419,2,18,362111
4233,3,13,664756
2356,4,28,357108
4418,2,18,677971
3728,3,12,564173
2130,2,11,328058
2122,5,7,374570
2383,4,4,413359
2895,5,16,461285
2952,4,15,457816
4069,3,2,642854
4465,4,24,676337
2108,4,1,370548
4298,3,27,662457
2814,4,3,439137
4232,2,4,670052
3718,6,20,598943
2902,3,5,472321
3839,6,25,592126
4413,3,21,658281
3139,3,13,491638
2026,5,19,335053
2653,5,2,441642
3731,4,12,571446
3393,6,12,552735
3138,3,19,498882
2636,4,14,406561
2881,2,16,421763
3378,3,8,540549
2418,2,17,350235
2379,4,27,384761
3556,5,30,541641
2396,4,0,387814
3470,2,21,530648
3408,3,23,534231
4472,6,3,718621
3083,4,21,478820
2177,3,28,343131
3881,5,17,634903
4196,5,24,663130
2511,5,8,412530
3550,3,24,553843
2322,4,20,361482
4261,3,10,659578
